X1,X2,X3,X4,X5,X6,Y1,Y2,Y3,Y4,Y5,Y6,Z1,Z2,Z3,Z4,Z5,Z6,Label
4.8445,35.798,11.748,40.543,18.429,44.506,0.02,0.02,0.02,0.017,0.017,0.017,0.022,0.022,0.022,0.023,0.023,0.023,1
30.986,7.0456,6.064,24.599,38.314,35.16,0.02,0.02,0.017,0.017,0.017,0.017,0.022,0.022,0.023,0.023,0.023,0.023,1
28.266,15.21,41.362,32.454,33.784,17.009,0.02,0.017,0.017,0.017,0.017,0.017,0.022,0.023,0.023,0.023,0.023,0.023,1
25.002,12.817,32.623,9.2815,26.897,30.753,0.017,0.017,0.017,0.017,0.017,0.015,0.023,0.023,0.023,0.023,0.023,0.023,1
33.594,25.203,26.339,43.036,10.263,13.104,0.017,0.017,0.017,0.017,0.015,0.015,0.023,0.023,0.023,0.023,0.023,0.023,1
32.646,6.6612,16.027,25.625,43.202,15.27,0.017,0.017,0.017,0.015,0.015,0.015,0.023,0.023,0.023,0.023,0.023,0.023,1
35.774,19.904,9.8138,31.485,13.997,31.504,0.017,0.017,0.015,0.015,0.015,0.015,0.023,0.023,0.023,0.023,0.023,0.023,1
14.953,7.2245,29.069,4.343,41.817,25.075,0.017,0.015,0.015,0.015,0.015,0.015,0.023,0.023,0.023,0.023,0.023,0.023,1
20.169,23.954,24.06,24.064,21.807,44.867,31.034,8.7188,25.268,33.476,25.139,34.82,0.023,0.023,0.023,0.023,0.023,0.02,1
28.231,21.019,23.461,30.095,11.479,26.159,23.909,13.777,33.036,18.576,37.825,44.798,0.023,0.023,0.023,0.023,0.02,0.02,1
